move,effect
Absorb,Deals damage and user recovers half the HP inflicted on opponent.
Acid,Deals damage and may lower opponent's Special Defense.
Acid Armor,Sharply raises user's Defense.
Agility,Sharply raises user's Speed.
Amnesia,Sharply raises user's Special Defense.
Aurora Beam,Deals damage and may lower opponent's Attack.
Barrage,Deals damage and hits 2-5 times in one turn.
Barrier,Sharply raises user's Defense.
Bide,User takes damage for two turns then strikes back double.
Bind,"Traps opponent, damaging them for 4-5 turns."
Bite,Deals damage and may cause flinching.
Blizzard,Deals damage and may freeze opponent.
Body Slam,Deals damage and may paralyze opponent.
Bone Club,Deals damage and may cause flinching.
Bonemerang,Deals damage and hits twice in one turn.
Bubble,Deals damage and may lower opponent's Speed.
Bubble Beam,Deals damage and may lower opponent's Speed.
Clamp,"Traps opponent, damaging them for 4-5 turns."
Comet Punch,Deals damage and hits 2-5 times in one turn.
Confuse Ray,Confuses opponent.
Confusion,Deals damage and may confuse opponent.
Constrict,Deals damage and may lower opponent's Speed by one stage.
Conversion,Changes user's type to that of its first move.
Counter,"When hit by a Physical Attack, user strikes back with 2x power."
Crabhammer,Deals damage and high critical hit ratio.
Cut,Deals damage
Defense Curl,Raises user's Defense.
Dig,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Opponent can't use its last attack for a few turns.
Dizzy Punch,Deals damage and may confuse opponent.
Double Kick,Deals damage and hits twice in one turn.
Double Slap,Deals damage and hits 2-5 times in one turn.
Double Team,Raises user's Evasiveness.
Double-Edge,Deals damage and user receives recoil damage.
Dragon Rage,Always inflicts 40 HP.
Dream Eater,Deals damage and user recovers half the HP inflicted on a sleeping opponent.
Drill Peck,Deals damage
Earthquake,Deals damage and power is doubled if opponent is underground from using Dig.
Egg Bomb,Deals damage
Ember,Deals damage and may burn opponent.
Explosion,Deals damage and user faints.
Fire Blast,Deals damage and may burn opponent.
Fire Punch,Deals damage and may burn opponent.
Fire Spin,"Traps opponent, damaging them for 4-5 turns."
Fissure,"One-Hit-KO, if it hits."
Flamethrower,Deals damage and may burn opponent.
Flash,Lowers opponent's Accuracy.
